user_id,n,med_deltae,stopped_share,age,gender
053TE1,29,2.41,0.5517241379310345,23.564681724845997,male
0MHKLZ,5,0.0,0.0,30.102669404517453,male
0SKBBE,8,0.0,0.125,20.427104722792606,male
15WIIK,12,0.0,0.08333333333333333,43.318275154004105,male
1DMD4I,3,0.0,0.0,27.641341546885695,female
1LAEWR,10,2.05,0.7,24.632443531827516,male
1M3GP8,3,0.0,0.0,28.48186173853525,female
1QEDK1,36,0.0,0.3333333333333333,21.984941820670773,male
1QL7YF,11,2.133575071378364,0.0,29.672826830937716,female
225SZG,7,0.0,0.2857142857142857,32.49007529089665,male
28FRR0,12,0.0,0.08333333333333333,32.73921971252567,female
29HIK4,6,0.0,0.16666666666666666,21.27857631759069,male
2GKY2C,5,0.0,0.2,24.309377138945926,female
31QQHU,25,0.0,0.16,35.419575633128,male
36LJL0,16,0.4,0.5625,24.057494866529773,female
3VGHK1,6,0.0,0.0,23.633127994524298,male
4AONTP,9,4.17,0.6666666666666666,26.403832991101986,female
4F2SG9,4,0.0,0.25,27.121149897330596,female
4L3XWG,23,0.86,0.5217391304347826,30.184804928131417,female
4P12LD,1,1.0037435837537176,0.0,27.477070499657767,male
4Q4LUE,7,0.0,0.2857142857142857,21.806981519507186,male
4U8M7H,13,0.0,0.23076923076923078,25.295003422313485,female
53L1PY,58,0.86,0.603448275862069,24.093086926762492,male
591G9G,1,0.0,0.0,21.806981519507186,male
59X6AK,11,0.87,0.5454545454545454,25.144421629021217,female
5BBQIK,12,0.0,0.25,33.61806981519507,female
5D9KV0,9,0.0,0.3333333333333333,42.15195071868583,male
5FNI5W,15,0.0,0.0,22.406570841889117,female
5PKJVW,21,0.0,0.38095238095238093,27.471594798083505,female
5YA3YY,24,0.0,0.25,33.998631074606436,male
63RRHM,3,0.0,0.0,36.45448323066393,male
6C0NED,14,1.5950000000000002,0.5714285714285714,34.09993155373032,male
6I95NI,7,0.0,0.42857142857142855,21.623545516769337,male
6K4M3F,5,0.0,0.2,26.78986995208761,male
6OW4GB,21,1.38,0.7142857142857143,22.85284052019165,male
6P3TT8,11,0.0,0.2727272727272727,21.286789869952088,female
6ZQOCJ,20,0.0,0.45,36.51745379876797,male
737E9Y,9,0.0,0.2222222222222222,22.1492128678987,female
7B8NPU,41,0.0,0.14634146341463414,43.35934291581109,female
7DE1E4,11,1.87,0.6363636363636364,54.57084188911704,female
7IW9V7,9,1.65,0.5555555555555556,46.064339493497606,female
7JRNJB,23,0.0,0.17391304347826086,24.37782340862423,female
7N4QLT,14,0.0,0.2857142857142857,23.039014373716633,female
7TGXQV,17,1.26,0.5882352941176471,29.932922655715263,female
7WZ8I1,2,0.0,0.0,21.965776865160848,female
83FKQK,37,0.0,0.2702702702702703,31.121149897330596,female
88L17B,7,0.0,0.42857142857142855,26.390143737166323,male
8LVNSI,6,0.0,0.3333333333333333,36.26830937713895,male
8SQAUC,9,0.0,0.3333333333333333,29.169062286105408,male
8URMOZ,33,2.37,0.7575757575757576,55.4715947980835,female
96BCZ9,22,0.0,0.22727272727272727,36.29295003422313,female
98M602,29,0.0,0.2413793103448276,29.908281998631075,female
9B3IW2,15,0.0,0.26666666666666666,25.634496919917865,female
9H40TX,27,0.0,0.2962962962962963,33.61806981519507,female
9HBBBI,99,0.81,0.5252525252525253,24.722792607802873,female
9QGIQ2,11,0.0,0.45454545454545453,24.071184120465436,female
9STD3Q,4,0.0,0.25,25.218343600273784,female
9VZBVS,5,0.0,0.0,34.08624229979466,female
9WN0ZG,11,2.49,0.6363636363636364,29.196440793976727,female
9Y5ORF,3,0.0,0.0,49.946611909650926,female
A757D0,3,0.0,0.3333333333333333,30.236824093086927,female
AFGZM6,4,0.0,0.25,25.727583846680357,male
AIE4KO,3,0.0,0.0,26.924024640657084,female
AWD71I,7,0.0,0.14285714285714285,22.740588637919235,female
AZIEOF,22,0.47500000000000003,0.5909090909090909,21.12251882272416,female
B85AKG,1,19.928645289316734,1.0,39.15400410677618,male
B8F1OU,16,0.0,0.4375,35.728952772073924,female
BIKV13,5,0.0,0.2,41.6974674880219,male
BJMJ7Z,7,0.0,0.14285714285714285,23.077344284736483,female
BLBSX2,8,0.0,0.0,32.23271731690623,female
BS5L0R,18,0.0,0.2222222222222222,30.29158110882957,male
C1JH6N,3,0.0,0.0,26.286105407255306,female
C7CTPF,14,0.0,0.07142857142857142,27.81930184804928,female
CW60YF,10,0.34,0.5,23.586584531143053,male
D15EEB,10,0.0,0.1,20.487337440109513,male
D325UQ,2,2.165,0.5,30.45037645448323,female
D4X0SV,24,0.42000000000000004,0.5416666666666666,24.657084188911703,male
DFIHTZ,1,3.14,1.0,21.4839151266256,female
DIPCK2,5,0.0,0.4,59.02532511978097,male
DSI497,19,0.0,0.3684210526315789,37.02669404517454,female
DZAH38,29,0.0,0.13793103448275862,35.52908966461328,male
E09JSH,18,0.0,0.4444444444444444,23.783709787816566,female
E1TOS6,14,0.0,0.21428571428571427,21.1088295687885,male
E7ZLP5,19,4.56,0.6842105263157895,24.10130047912389,male
EJ79JJ,16,0.0,0.25,29.1088295687885,female
EM65NR,76,0.715,0.5394736842105263,39.832991101984945,male
EYKU99,11,0.52,0.7272727272727273,20.26009582477755,female
FIEEYF,13,0.0,0.15384615384615385,25.1854893908282,male
FIPC8E,6,0.0,0.16666666666666666,26.45037645448323,male
FKURYX,10,0.0,0.2,21.982203969883642,male
FNAVTN,15,0.0,0.2,32.15058179329227,female
GCA1O6,3,0.0,0.0,28.246406570841888,male
GFCPYO,3,0.0,0.3333333333333333,15.742642026009582,male
GPWK0G,18,0.0,0.2222222222222222,31.87953456536619,female
GZD4A4,11,0.0,0.2727272727272727,19.865845311430526,female
HMLOWM,10,0.0,0.1,26.89664613278576,male
HT08C3,25,9.98,0.64,29.672826830937716,male
HTYG0K,8,2.615,0.625,28.309377138945926,female
HTZVR2,7,0.0,0.0,38.25598904859685,male
IEDKX5,7,0.0,0.2857142857142857,22.239561943874058,female
IIPA10,109,0.0,0.46788990825688076,39.54277891854894,male
IZ9SIR,14,0.0,0.14285714285714285,23.055441478439427,male
J4YEGX,29,14.13,0.6206896551724138,32.50376454483231,female
JI7YM0,7,0.0,0.42857142857142855,44.0766598220397,female
JU9HP3,3,0.0,0.0,34.7460643394935,male
