drop_white,drop_black,drop_red,drop_yellow,drop_blue,total_drops,band,skin_zone,R,G,B,L,a,b
15,6,2,2,3,28,28,1,166,149,152,63.23,6.81,0.72
14,6,2,3,3,28,28,1,165,151,140,63.36,3.25,7.66
13,6,3,4,2,28,28,1,177,149,120,63.51,6.11,19.22
14,0,13,0,1,28,28,0,253,105,130,63.84,58.4,15.52
8,7,4,9,0,28,28,0,187,150,61,63.93,4.19,50.59
11,2,5,6,4,28,28,1,194,149,115,65.12,12.4,24.47
10,0,3,7,8,28,28,1,164,160,138,65.65,-2.4,12.0
9,0,6,8,5,28,28,1,201,149,105,65.7,14.2,30.82
15,3,8,2,0,28,28,0,234,135,125,66.75,36.72,21.92
16,6,3,3,0,28,28,1,200,163,131,69.55,9.08,21.77
0,7,0,20,1,28,28,0,149,183,19,69.69,-31.01,68.21
16,5,2,3,2,28,28,1,185,168,149,69.82,3.02,12.05
19,0,7,0,2,28,28,0,239,152,180,72.3,36.22,-0.8
15,3,3,5,2,28,28,1,205,177,134,73.64,3.9,25.76
12,3,2,10,1,28,28,0,214,200,93,79.84,-8.5,54.29
5,0,0,17,6,28,28,0,170,219,72,81.66,-36.89,64.23
14,1,4,9,0,28,28,0,250,198,104,82.76,8.21,53.39
15,2,0,9,2,28,28,0,209,227,125,86.98,-21.11,47.6
10,1,2,15,0,28,28,0,248,222,67,88.26,-6.97,74.54
