color_type,n,perfect_pct,stopped_pct,mean_deltae,median_deltae_completed,median_time
basic,2778.0,73.29013678905687,24.802015838732903,2.7120161649911845,0.0,7.75
skin,726.0,17.90633608815427,72.31404958677686,4.347868969806464,0.0,60.45
