target_color_id,color_type,n,perfect_pct,stopped_pct,mean_deltae
33,skin,19,21.052631578947366,68.42105263157895,8.303550141053622
11,basic,123,12.195121951219512,82.92682926829268,7.898693615211227
38,skin,31,6.451612903225806,83.87096774193549,7.890922172368971
26,skin,30,6.666666666666667,80.0,7.840481099897155
8,basic,129,28.68217054263566,62.7906976744186,7.760785646865464
9,basic,109,33.94495412844037,62.38532110091744,6.784565717922315
36,skin,18,16.666666666666664,72.22222222222221,6.529975935030652
40,skin,35,22.857142857142858,71.42857142857143,6.389488443444821
35,skin,25,8.0,80.0,6.306648688859473
23,skin,24,4.166666666666666,91.66666666666666,6.019504653923545
10,basic,100,28.999999999999996,67.0,5.664999771710049
20,skin,21,14.285714285714285,76.19047619047619,5.638491206085147
6,basic,150,15.333333333333332,79.33333333333333,5.528075353232429
30,skin,21,14.285714285714285,76.19047619047619,4.751410495406
15,skin,53,18.867924528301888,77.35849056603774,4.3556979688501185
12,skin,67,29.850746268656714,64.17910447761194,4.19811048320309
31,skin,23,4.3478260869565215,82.6086956521739,4.034867153891451
34,skin,29,10.344827586206897,86.20689655172413,3.92522449629591
24,skin,36,5.555555555555555,80.55555555555556,3.7646081832607172
25,skin,22,45.45454545454545,50.0,3.7302062809964074
39,skin,21,4.761904761904762,85.71428571428571,3.699345792626128
5,basic,155,42.58064516129032,52.25806451612903,3.6297686736965127
29,skin,20,5.0,75.0,3.4811636785752222
16,skin,22,22.727272727272727,59.09090909090909,3.3810933002159644
32,skin,18,11.11111111111111,77.77777777777779,3.292534579493276
19,skin,22,9.090909090909092,81.81818181818183,3.1188865343436607
7,basic,149,69.79865771812081,27.516778523489933,3.0339037280086125
27,skin,32,18.75,75.0,2.497665711838291
17,skin,21,19.047619047619047,71.42857142857143,2.462651130834067
13,skin,28,32.142857142857146,64.28571428571429,2.4563995406920762
4,basic,202,65.34653465346535,33.663366336633665,2.3131252184329205
37,skin,14,7.142857142857142,64.28571428571429,2.2561571286971764
22,skin,28,32.142857142857146,50.0,2.1845766443157237
28,skin,19,36.84210526315789,52.63157894736842,2.090328409036892
2,basic,542,96.30996309963099,3.136531365313653,1.6302897107325738
14,skin,23,34.78260869565217,60.86956521739131,1.5300858056343682
18,skin,1,0.0,0.0,1.264147092842541
1,basic,604,93.87417218543047,5.7947019867549665,1.0762809852451307
3,basic,515,97.86407766990291,1.9417475728155338,0.7970164417372356
21,skin,3,33.33333333333333,0.0,0.7292019052273546
