a,b
78.27746200488377,63.55163809096883
-11.21845450053871,86.95539379147644
-23.649255851179163,85.11824007357454
-30.24453497131313,81.94191423850033
-37.29544437786797,69.63443028983377
-38.428930047858636,62.24544788186683
-35.62478460068208,32.55430977598217
-27.34748256066355,11.804056324534384
-24.75383776904827,6.129080343421256
-13.059757115415572,-15.498693972472832
15.715070896869909,-54.310314047810614
55.98525480871197,-89.97384155388157
67.16512942643298,-97.0671519790998
68.45001524365149,-92.31585494054256
